daysPostSettlement,date,timePoint,rackNumber,trainedEyeTime,untrainedEyeTime,scanTime,numberPhotos
0,2023-08-18,0,1,20,61,61,1796
0,2023-08-18,0,2,19,54,80,2310
0,2023-08-18,0,3,19,26,88,2315
6,2023-08-24,1,1,22,30,49,1351
6,2023-08-24,1,2,10,26,50,1456
6,2023-08-24,1,3,15,22,48,1415
13,2023-08-31,2,1,21,24,53,1361
13,2023-08-31,2,2,22,17,47,1202
13,2023-08-31,2,3,13,16,50,1269
21,2023-09-08,3,1,14,25,20,591
21,2023-09-08,3,2,12,22,22,644
21,2023-09-08,3,3,15,20,23,699
27,2023-09-14,4,1,19,20,28,814
27,2023-09-14,4,2,12,19,26,778
27,2023-09-14,4,3,17,17,30,903
